Date	ET
20040829	1.188
20040830	1.363
20040831	3.223
20040901	2.343
20040902	2.031
20040903	1.579
20040904	1.381
20040905	3.752
20040906	2.086
20040907	1.733
20040908	1.517
20040909	1.442
20040910	1.378
20040911	1.188
20040912	1.151
20040913	1.147
20040914	0.964
20040915	0.816
20040916	0.740
20040917	0.965
20040918	0.800
20040919	0.374
20040920	4.062
20040921	2.169
20040922	1.026
20040923	2.795
20040924	1.979
20040925	1.024
20040926	0.400
20040927	1.109
20040928	1.793
20040929	2.843
20040930	2.346
20041001	2.041
20041002	1.655
20041003	1.021
20041004	1.159
20041005	0.456
20041006	2.485
20041007	2.618
20041008	3.083
20041009	1.647
20041010	1.955
20041011	1.660
